ID	model_path	model_texture	local_scale	weapon_type	model_parts	model_priority
ds023a_002	models/pendant/weapon/ds023a.model	models/pendant/weapon/Textures/ds023a_002d.dds		yj		
ds023a_003	models/pendant/weapon/ds023a.model	models/pendant/weapon/Textures/ds023a_003d.dds		yj		
ds024a_000	models/pendant/weapon/ds024a.model	models/pendant/weapon/Textures/ds024a_000d.dds		yj		
ds024a_001	models/pendant/weapon/ds024a.model	models/pendant/weapon/Textures/ds024a_001d.dds		yj		
ds024a_002	models/pendant/weapon/ds024a.model	models/pendant/weapon/Textures/ds024a_002d.dds		yj		
ds024a_003	models/pendant/weapon/ds024a.model	models/pendant/weapon/Textures/ds024a_003d.dds		yj		
ds025a_000				yj		
ds025a_001	models/pendant/weapon/ds025a.model	models/pendant/weapon/Textures/ds025a_001d.dds		yj		
ds025a_002	models/pendant/weapon/ds025a.model	models/pendant/weapon/Textures/ds025a_002d.dds		yj		
ds025a_003	models/pendant/weapon/ds025a.model	models/pendant/weapon/Textures/ds025a_003d.dds		yj		
ds025a_004	models/pendant/weapon/ds025a.model	models/pendant/weapon/Textures/ds025a_004d.dds		yj		
ds025a_005	models/pendant/weapon/ds025a.model	models/pendant/weapon/Textures/ds025a_005d.dds		yj		
ds030a_000				yj		
ds030a_001				yj		
ds031a_000				yj		
ds032a_000	models/pendant/weapon/ds032a.model	models/pendant/weapon/Textures/ds032a_000d.dds		yj		
ds032a_001	models/pendant/weapon/ds032a.model	models/pendant/weapon/Textures/ds032a_001d.dds		yj		
ds032a_002	models/pendant/weapon/ds032a.model	models/pendant/weapon/Textures/ds032a_002d.dds		yj		
ds032a_003	models/pendant/weapon/ds032a.model	models/pendant/weapon/Textures/ds032a_003d.dds		yj		
ds032a_004	models/pendant/weapon/ds032a.model	models/pendant/weapon/Textures/ds032a_004d.dds		yj		
ds036a_000				yj		
ds036a_001				yj		
ds037a_000	models/pendant/weapon/ds037a.model	models/pendant/weapon/Textures/ds037a_000d.dds		yj		
ds037a_001	models/pendant/weapon/ds037a.model	models/pendant/weapon/Textures/ds037a_001d.dds		yj		
ds037a_002				yj		
ds037a_003	models/pendant/weapon/ds037a.model	models/pendant/weapon/Textures/ds037a_003d.dds		yj		
ds037a_004				yj		
ds037a_005	models/pendant/weapon/ds037a.model	models/pendant/weapon/Textures/ds037a_005d.dds		yj		
ds038a_000				yj		
ds038a_001	models/pendant/weapon/ds038a.model	models/pendant/weapon/Textures/ds038a_001d.dds		yj		
ds038a_002	models/pendant/weapon/ds038a.model	models/pendant/weapon/Textures/ds038a_002d.dds		yj		
ds038a_003				yj		
ds038a_004	models/pendant/weapon/ds038a.model	models/pendant/weapon/Textures/ds038a_004d.dds		yj		
ds038a_005	models/pendant/weapon/ds038a.model	models/pendant/weapon/Textures/ds038a_005d.dds		yj		
ds039a_000	models/pendant/weapon/ds039a.model	models/pendant/weapon/Textures/ds039a_000d.dds		yj		
ds039a_001	models/pendant/weapon/ds039a.model	models/pendant/weapon/Textures/ds039a_001d.dds		yj		
ds039a_002	models/pendant/weapon/ds039a.model	models/pendant/weapon/Textures/ds039a_002d.dds		yj		
ds039a_003	models/pendant/weapon/ds039a.model	models/pendant/weapon/Textures/ds039a_003d.dds		yj		
ds039a_004	models/pendant/weapon/ds039a.model	models/pendant/weapon/Textures/ds039a_004d.dds		yj		
ds039a_005	models/pendant/weapon/ds039a.model	models/pendant/weapon/Textures/ds039a_005d.dds		yj		
ds040a_000				yj		
ds042a	models/pendant/weapon/ds042a.model			ds		
ds042a_000	models/pendant/weapon/ds042a.model	models/pendant/weapon/Textures/ds042a_000d.dds		yj		
ds042a_000_ds	models/pendant/weapon/ds042a.model	models/pendant/weapon/Textures/ds042a_000d.dds		ds		
ds042a_000_sj	models/pendant/weapon/ds042a.model	models/pendant/weapon/Textures/ds042a_000d.dds		sj		
ds042a_000_tg	models/pendant/weapon/ds042a.model	models/pendant/weapon/Textures/ds042a_000d.dds		tg		
ds042a_ds02	models/pendant/weapon/ds042a.model			ds02		
ds042a_000_ds01	models/pendant/weapon/ds042a.model			ds01		
ds042a_ghost_sj				sj		
ds044a_000				yj		
ds046a	models/pendant/weapon/ds046a.model			ds		
ds048a_000				yj		
ds048a_001				yj		
ds058a_000	models/pendant/weapon/ds_058a.model	models/pendant/weapon/Textures/ds_058a_000_d.dds		ds		
ds058a_000_yj	models/pendant/weapon/ds_058a.model	models/pendant/weapon/Textures/ds_058a_000_d.dds		yj		
ds059a_000	models/pendant/weapon/ds_059a.model	models/pendant/weapon/Textures/ds_059a_000_d.dds		ds		
ds060a_000	models/pendant/weapon/ds_060a.model	models/pendant/weapon/Textures/ds_060a_000_d.dds		ds		
ds060a_000_origin				zf		
ds117a_000	models/pendant/weapon/ds117a.model	models/pendant/weapon/Textures/ds117a_000d.dds		yj		
ds301a_000	models/pendant/weapon/ds301a.model	models/pendant/weapon/Textures/ds301a_000d.dds		ds		
ds306a_000	models/pendant/weapon/ds306a.model	models/pendant/weapon/Textures/ds306a_000d.dds		ds		
ds306a_000_sj	models/pendant/weapon/ds306a.model	models/pendant/weapon/Textures/ds306a_000d.dds		sj		
ds306a_000_ghost				ds		
ds306a_000_nil	models/pendant/weapon/ds306a.model	models/pendant/weapon/Textures/ds306a_000d.dds		ds		
ds306a_000_playfire				ds		
ds307a_000	models/pendant/weapon/ds307a.model	models/pendant/weapon/Textures/ds307a_000d.dds		ds		
ds321a_000	models/pendant/weapon/ds321a.model	models/pendant/weapon/Textures/ds321a_000d.dds		ds		
ds329_000	models/pendant/weapon/ds329.model	models/pendant/weapon/Textures/ds329_000d.dds		ds		
ds329_000_l1				ds		
ds329_001	models/pendant/weapon/ds329.model	models/pendant/weapon/Textures/ds329_001d.dds		ds		
ds332a_000	models/pendant/weapon/ds332a.model	models/pendant/weapon/Textures/ds332a_000d.dds		ds		
ds334_000	models/pendant/weapon/ds_334.model			ds		
ds335_000	models/pendant/weapon/ds335.model			ds		
ds340a_000	models/pendant/weapon/ds340a.model	models/pendant/weapon/Textures/ds340a_000d.dds		ds		
ds340a_000_bz	models/pendant/weapon/ds340a.model	models/pendant/weapon/Textures/ds340a_000d.dds		bz		
ds345a_000	models/pendant/weapon/ds345a.model	models/pendant/weapon/Textures/ds345a_000d.dds		ds01		
ds345a_ghost				ds01		
ds346a_001				ds02		
ds346a_002				ds02		
ds346a_003				ds02		
ds348a_000			2.13	ds		
ds347a_001	models/pendant/weapon/ds347a_001.model			ds02		
ds347a_002	models/pendant/weapon/ds347a_002.model			ds02		
ds347a_003	models/pendant/weapon/ds347a_003.model			ds02		
ds601a_000	models/pendant/weapon/ds601a.model	models/pendant/weapon/Textures/ds601a_000d.dds		yj		
ds602a_000	models/pendant/weapon/ds602a.model			yj		
dsn300a_000	models/pendant/weapon/dsn300a.model	models/pendant/weapon/Textures/dsn300a_000d.dds		dsn		
dsn300a_001	models/pendant/weapon/dsn300a.model	models/pendant/weapon/Textures/dsn300a_001d.dds		dsn		
dsn300a_002	models/pendant/weapon/dsn300a.model	models/pendant/weapon/Textures/dsn300a_002d.dds		dsn		
dsn304a_000	models/pendant/weapon/dsn304a.model	models/pendant/weapon/Textures/dsn304a_000d.dds		dsn		
dun300a_000_ghost				dun		
dun301a_000	models/pendant/weapon/dun301a.model	models/pendant/weapon/Textures/dun301a_000d.dds		dun		
dun301a_000_ghost				dun		
dun301a_001	models/pendant/weapon/dun301a.model	models/pendant/weapon/Textures/dun301a_001d.dds		dun		
dun301a_002	models/pendant/weapon/dun301a.model	models/pendant/weapon/Textures/dun301a_002d.dds		dun		
dun304a_000	models/pendant/weapon/dun304a.model	models/pendant/weapon/Textures/dun304a_000d.dds		dun		
dun304a_000_endure				dun		
dun304a_000_ghost				dun		
dun304a_000_playfire				dun		
dun310a_000	models/pendant/weapon/dun310a.model	models/pendant/weapon/Textures/dun310a_000d.dds		dun		
dun310a_001	models/pendant/weapon/dun310a.model	models/pendant/weapon/Textures/dun310a_001d.dds		dun		
dun310a_002	models/pendant/weapon/dun310a.model	models/pendant/weapon/Textures/dun310a_002d.dds		dun		
dun310a_003	models/pendant/weapon/dun310a.model	models/pendant/weapon/Textures/dun310a_003d.dds		dun		
dz100a_000				dz		
fz000a_000	models/pendant/weapon/fz000a.model	models/pendant/weapon/Textures/fz000a_000d.dds		sm		
shg000a_000	models/pendant/weapon/shg000a.model			sm		
fz000a_000_fz	models/pendant/weapon/fz000a.model	models/pendant/weapon/Textures/fz000a_000d.dds		fz		
fz000a_001	models/pendant/weapon/fz000a.model	models/pendant/weapon/Textures/fz000a_001d.dds		sm		
fz000a_001_fz	models/pendant/weapon/fz000a.model	models/pendant/weapon/Textures/fz000a_001d.dds		fz		
fz000a_002	models/pendant/weapon/fz000a.model	models/pendant/weapon/Textures/fz000a_002d.dds		sm		
fz000a_003	models/pendant/weapon/fz000a.model	models/pendant/weapon/Textures/fz000a_003d.dds		sm		
fz000a_playfire				fz		
fz001a_000	models/pendant/weapon/fz001a.model	models/pendant/weapon/Textures/fz001a_000d.dds		sm		
fz001a_000_fz	models/pendant/weapon/fz001a.model	models/pendant/weapon/Textures/fz001a_000d.dds		fz		
fz001a_001	models/pendant/weapon/fz001a.model	models/pendant/weapon/Textures/fz001a_001d.dds		sm		
fz001a_002	models/pendant/weapon/fz001a.model	models/pendant/weapon/Textures/fz001a_002d.dds		sm		
fz001a_002d_l1				fz		
fz001a_003	models/pendant/weapon/fz001a.model	models/pendant/weapon/Textures/fz001a_003d.dds		sm		
fz001a_004	models/pendant/weapon/fz001a.model	models/pendant/weapon/Textures/fz001a_004d.dds		sm		
fz001a_004d_fz	models/pendant/weapon/fz001a.model	models/pendant/weapon/Textures/fz001a_004d.dds		fz		
fz002a_000	models/pendant/weapon/fz002a.model	models/pendant/weapon/Textures/fz002a_000d.dds		sm		
fz002a_000_zmm				fz		
fz002a_001	models/pendant/weapon/fz002a.model	models/pendant/weapon/Textures/fz002a_001d.dds		sm		
fz002a_002	models/pendant/weapon/fz002a.model	models/pendant/weapon/Textures/fz002a_002d.dds		sm		
fz002a_002_fz	models/pendant/weapon/fz002a.model	models/pendant/weapon/Textures/fz002a_002d.dds		fz		
fz002a_003	models/pendant/weapon/fz002a.model	models/pendant/weapon/Textures/fz002a_003d.dds		sm		
fz002a_004	models/pendant/weapon/fz002a.model	models/pendant/weapon/Textures/fz002a_004d.dds		sm		
fz003a_000	models/pendant/weapon/fz003a.model	models/pendant/weapon/Textures/fz003a_000d.dds		sm		
fz003a_000_fz	models/pendant/weapon/fz003a.model	models/pendant/weapon/Textures/fz003a_000d.dds		fz		
fz003a_001	models/pendant/weapon/fz003a.model	models/pendant/weapon/Textures/fz003a_001d.dds		sm		
fz003a_002	models/pendant/weapon/fz003a.model	models/pendant/weapon/Textures/fz003a_002d.dds		sm		
fz003a_003	models/pendant/weapon/fz003a.model	models/pendant/weapon/Textures/fz003a_003d.dds		sm		
fz003a_003_fz	models/pendant/weapon/fz003a.model	models/pendant/weapon/Textures/fz003a_003d.dds		fz		
fz003a_004	models/pendant/weapon/fz003a.model	models/pendant/weapon/Textures/fz003a_004d.dds		sm		
fz004a_000	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_000d.dds		sm		
fz004a_000_fz	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_000d.dds		fz		
fz004a_001	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_001d.dds		sm		
fz004a_001_fz	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_001d.dds		fz		
fz004a_002	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_002d.dds		sm		
fz004a_002_fz	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_002d.dds		fz		
fz004a_003	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_003d.dds		sm		
fz004a_003_fz	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_003d.dds		fz		
fz004a_004	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_004d.dds		sm		
fz004a_004_fz	models/pendant/weapon/fz004a.model	models/pendant/weapon/Textures/fz004a_004d.dds		fz		
fz005a_000	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_000d.dds		sm		
fz005a_000_fz	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_000d.dds		fz		
fz005a_001	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_001d.dds		sm		
fz005a_001_fz	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_001d.dds		fz		
fz005a_002	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_002d.dds		sm		
fz005a_002_boss			1	fz		
fz005a_002_fz	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_002d.dds		fz		
fz005a_003	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_003d.dds		sm		
fz005a_003_fz	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_003d.dds		fz		
fz005a_004	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_004d.dds		sm		
fz005a_004_fz	models/pendant/weapon/fz005a.model	models/pendant/weapon/Textures/fz005a_004d.dds		fz		
fz006a_000	models/pendant/weapon/fz006a.model	models/pendant/weapon/Textures/fz006a_000d.dds		sm		
fz006a_000_fz	models/pendant/weapon/fz006a.model	models/pendant/weapon/Textures/fz006a_000d.dds		fz		
fz006a_001	models/pendant/weapon/fz006a.model	models/pendant/weapon/Textures/fz006a_001d.dds		sm		
fz006a_001_fz	models/pendant/weapon/fz006a.model	models/pendant/weapon/Textures/fz006a_001d.dds		fz		
fz006a_002	models/pendant/weapon/fz006a.model	models/pendant/weapon/Textures/fz006a_002d.dds		sm		
fz006a_002_fz	models/pendant/weapon/fz006a.model	models/pendant/weapon/Textures/fz006a_002d.dds		fz		
fz007a_000	models/pendant/weapon/fz007a.model	models/pendant/weapon/Textures/fz007a_000d.dds		sm		
fz007a_001	models/pendant/weapon/fz007a.model	models/pendant/weapon/Textures/fz007a_001d.dds		sm		
fz007a_001_fz01	models/pendant/weapon/fz007a.model	models/pendant/weapon/Textures/fz007a_001d.dds		fz01		
fz007a_002	models/pendant/weapon/fz007a.model	models/pendant/weapon/Textures/fz007a_002d.dds		sm		
fz008_boss				fz		
fz008a_000	models/pendant/weapon/fz008a.model	models/pendant/weapon/Textures/fz008a_000d.dds		sm		
fz008a_000_fz	models/pendant/weapon/fz008a.model	models/pendant/weapon/Textures/fz008a_000d.dds		fz		
fz008a_000_ghost				fz		
fz008a_001	models/pendant/weapon/fz008a.model	models/pendant/weapon/Textures/fz008a_001d.dds		sm		
fz008a_001_fz	models/pendant/weapon/fz008a.model	models/pendant/weapon/Textures/fz008a_001d.dds		fz		
fz008a_002	models/pendant/weapon/fz008a.model	models/pendant/weapon/Textures/fz008a_002d.dds		sm		
fz008a_002_fz	models/pendant/weapon/fz008a.model	models/pendant/weapon/Textures/fz008a_002d.dds		fz		
fz009a_000	models/pendant/weapon/fz009a.model	models/pendant/weapon/Textures/fz009a_000d.dds		sm		
fz009a_001	models/pendant/weapon/fz009a.model	models/pendant/weapon/Textures/fz009a_001d.dds		sm		
fz009a_002	models/pendant/weapon/fz009a.model	models/pendant/weapon/Textures/fz009a_002d.dds		sm		
fz010a_000	models/pendant/weapon/fz010a.model	models/pendant/weapon/Textures/fz010a_000d.dds		sm		
fz010a_000orange				sm		
fz010a_001	models/pendant/weapon/fz010a.model	models/pendant/weapon/Textures/fz010a_001d.dds		sm		
fz010a_001orange				sm		
fz011a_000	models/pendant/weapon/fz011a.model	models/pendant/weapon/Textures/fz011a_000d.dds		sm		
fz011a_000orange				sm		
fz011a_001	models/pendant/weapon/fz011a.model	models/pendant/weapon/Textures/fz011a_001d.dds		sm		
fz011a_001orange				sm		
fz012a_000	models/pendant/weapon/fz012a.model	models/pendant/weapon/Textures/fz012a_000d.dds		sm		
fz012a_000_fz	models/pendant/weapon/fz012a.model	models/pendant/weapon/Textures/fz012a_000d.dds		fz		
fz013a_000	models/pendant/weapon/fz013a.model	models/pendant/weapon/Textures/fz013a_000d.dds		sm		
fz016a_000				sm		
fz017a_000	models/pendant/weapon/fz017a.model	models/pendant/weapon/Textures/fz017a_000d.dds		sm		
fz020a	models/pendant/weapon/fz020a.model			fz		
fz020a_000	models/pendant/weapon/fz020a.model	models/pendant/weapon/Textures/fz020a_000d.dds		sm		
fz020a_001	models/pendant/weapon/fz020a.model	models/pendant/weapon/Textures/fz020a_001d.dds		sm		
fz020a_002	models/pendant/weapon/fz020a.model	models/pendant/weapon/Textures/fz020a_002d.dds		sm		
fz020a_003	models/pendant/weapon/fz020a.model	models/pendant/weapon/Textures/fz020a_003d.dds		sm		
fz020a_004				fz		
fz021a_000				sm		
fz021a_001				sm		
fz021a_002				sm		
fz021a_003				sm		
fz022a_000				sm		
fz023a_000	models/pendant/weapon/fz023a.model	models/pendant/weapon/Textures/fz023a_000d.dds		sm		
fz023a_001	models/pendant/weapon/fz023a.model	models/pendant/weapon/Textures/fz023a_001d.dds		sm		
fz023a_002	models/pendant/weapon/fz023a.model	models/pendant/weapon/Textures/fz023a_002d.dds		sm		
fz023a_003	models/pendant/weapon/fz023a.model	models/pendant/weapon/Textures/fz023a_003d.dds		sm		
fz023a_003_boss				hrsm		
fz024a_000	models/pendant/weapon/fz024a.model	models/pendant/weapon/Textures/fz024a_000d.dds		sm		
fz024a_001	models/pendant/weapon/fz024a.model	models/pendant/weapon/Textures/fz024a_001d.dds		sm		
fz024a_002	models/pendant/weapon/fz024a.model	models/pendant/weapon/Textures/fz024a_002d.dds		sm		
fz024a_003	models/pendant/weapon/fz024a.model	models/pendant/weapon/Textures/fz024a_003d.dds		sm		
fz025a_000				sm		
fz025a_001	models/pendant/weapon/fz025a.model	models/pendant/weapon/Textures/fz025a_001d.dds		sm		
fz025a_002	models/pendant/weapon/fz025a.model	models/pendant/weapon/Textures/fz025a_002d.dds		sm		
fz025a_003	models/pendant/weapon/fz025a.model	models/pendant/weapon/Textures/fz025a_003d.dds		sm		
fz025a_004	models/pendant/weapon/fz025a.model	models/pendant/weapon/Textures/fz025a_004d.dds		sm		
fz025a_005	models/pendant/weapon/fz025a.model	models/pendant/weapon/Textures/fz025a_005d.dds		sm		
fz030a_000				sm		
fz030a_001				sm		
fz031a_000				sm		
fz032a_000	models/pendant/weapon/fz032a.model	models/pendant/weapon/Textures/fz032a_000d.dds		sm		
fz032a_001	models/pendant/weapon/fz032a.model	models/pendant/weapon/Textures/fz032a_001d.dds		sm		
fz032a_002	models/pendant/weapon/fz032a.model	models/pendant/weapon/Textures/fz032a_002d.dds		sm		
fz032a_003	models/pendant/weapon/fz032a.model	models/pendant/weapon/Textures/fz032a_003d.dds		sm		
fz032a_004	models/pendant/weapon/fz032a.model	models/pendant/weapon/Textures/fz032a_004d.dds		sm		
fz036a_000				sm		
fz036a_001				sm		
fz037a_000	models/pendant/weapon/fz037a.model	models/pendant/weapon/Textures/fz037a_000d.dds		sm		
fz037a_001	models/pendant/weapon/fz037a.model	models/pendant/weapon/Textures/fz037a_001d.dds		sm		
fz037a_002				sm		
fz037a_003	models/pendant/weapon/fz037a.model	models/pendant/weapon/Textures/fz037a_003d.dds		sm		
fz037a_004				sm		
fz037a_005	models/pendant/weapon/fz037a.model	models/pendant/weapon/Textures/fz037a_005d.dds		sm		
fz038a_000				sm		
fz038a_001	models/pendant/weapon/fz038a.model	models/pendant/weapon/Textures/fz038a_001d.dds		sm		
fz038a_002	models/pendant/weapon/fz038a.model	models/pendant/weapon/Textures/fz038a_002d.dds		sm		
fz038a_003				sm		
fz038a_004	models/pendant/weapon/fz038a.model	models/pendant/weapon/Textures/fz038a_004d.dds		sm		
fz038a_005	models/pendant/weapon/fz038a.model	models/pendant/weapon/Textures/fz038a_005d.dds		sm		
fz039a_000	models/pendant/weapon/fz039a.model	models/pendant/weapon/Textures/fz039a_000d.dds		sm		
fz039a_001	models/pendant/weapon/fz039a.model	models/pendant/weapon/Textures/fz039a_001d.dds		sm		
fz039a_002	models/pendant/weapon/fz039a.model	models/pendant/weapon/Textures/fz039a_002d.dds		sm		
fz039a_003	models/pendant/weapon/fz039a.model	models/pendant/weapon/Textures/fz039a_003d.dds		sm		
fz039a_004	models/pendant/weapon/fz039a.model	models/pendant/weapon/Textures/fz039a_004d.dds		sm		
fz039a_005	models/pendant/weapon/fz039a.model	models/pendant/weapon/Textures/fz039a_005d.dds		sm		
fz040a_000				sm		
fz044a_000				sm		
fz048a_000				sm		
fz048a_001				sm		
fz200a_000				sm		
fz300a_000	models/pendant/weapon/fz300a.model	models/pendant/weapon/Textures/fz300a_000d.dds		fz		
fz300a_1				fz		
fz300a_playfire				fz		
fz301a_000	models/pendant/weapon/fz301a.model			fz		
fz301a_000_fz01	models/pendant/weapon/fz301a.model			fz01		
fz301a_000_long	models/pendant/weapon/fz301a_long.model			fz		
fz303a_000	models/pendant/weapon/fz303a.model	models/pendant/weapon/Textures/fz303a_000d.dds		fz		
fz303a_000_fz01	models/pendant/weapon/fz303a.model	models/pendant/weapon/Textures/fz303a_000d.dds		fz01		
fz304a_000	models/pendant/weapon/fz304a.model	models/pendant/weapon/Textures/fz304a_000d.dds		fz		
fz304a_000_ghost				fz		
fz304a_000_playfire				fz		
fz306a_000	models/pendant/weapon/fz306a.model	models/pendant/weapon/Textures/fz306a_000d.dds		cg		
fz308a_000	models/pendant/weapon/fz308a.model	models/pendant/weapon/Textures/fz308a_000d.dds		cg		
fz309_000_ghost				fz		
fz309a_000	models/pendant/weapon/fz309a.model	models/pendant/weapon/Textures/fz309a_000d.dds		fz		
fz309a_nydw				fz		
fz312a_nydw				fz		
fz601a_000	models/pendant/weapon/fz601a.model	models/pendant/weapon/Textures/fz601a_000d.dds		sm		
fz601a_000_grsm	models/pendant/weapon/fz601a.model	models/pendant/weapon/Textures/fz601a_000d.dds		hrsm		
fz602a_000	models/pendant/weapon/fz602a.model			sm		
gn301a_000	models/pendant/weapon/gn301a.model	models/pendant/weapon/Textures/gn301a_000d.dds		gn		
gn301a_000_ghost				gn		
gn301a_000_ghost_gn01				gn01		
gn301a_000_gn01	models/pendant/weapon/gn301a.model	models/pendant/weapon/Textures/gn301a_000d.dds		gn01		
gn301a_stone_horn				gn		
gn307a_000	models/pendant/weapon/gn307a.model	models/pendant/weapon/Textures/gn307a_000d.dds		gn		
gn307a_000_gn01	models/pendant/weapon/gn307a.model	models/pendant/weapon/Textures/gn307a_000d.dds		gn01		
gn307a_001	models/pendant/weapon/gn307a.model	models/pendant/weapon/Textures/gn307a_001d.dds		gn		
gn307a_001_gn01	models/pendant/weapon/gn307a.model	models/pendant/weapon/Textures/gn307a_001d.dds		gn01		
gn307a_000_ghost				gn		
gn307a_000_ghost_gn01				gn01		
gn308a_000	models/pendant/weapon/gn308a.model	models/pendant/weapon/Textures/gn308a_000d.dds		gn		
gn308a_000_gn01	models/pendant/weapon/gn308a.model	models/pendant/weapon/Textures/gn308a_000d.dds		gn01		
gong100a_000				gong		
gong100a_001				gong		
gong100a_002				gong		
gong100a_003				gong		
gong100a_001_ghost				gong		
gzw220_ghost_ds				ds		
gzw221_000_ds	models/pendant/gzw/gzw221.model			ds		
hh000a	models/pendant/weapon/hh000a.model			yf		
hh000a_000				yf		
hh000a_000test				yf		
hh001a_000	models/pendant/weapon/hh001a.model			yf		
hh001a_001	models/pendant/weapon/hh001a.model	models/pendant/weapon/Textures/hh001a_001d.dds		yf		
hh001a_002	models/pendant/weapon/hh001a.model	models/pendant/weapon/Textures/hh001a_002d.dds		yf		
hh001a_003	models/pendant/weapon/hh001a.model	models/pendant/weapon/Textures/hh001a_003d.dds		yf		
hh002a_000	models/pendant/weapon/hh002a.model			yf		
hh002a_001	models/pendant/weapon/hh002a.model	models/pendant/weapon/Textures/hh002a_001d.dds		yf		
hh002a_002	models/pendant/weapon/hh002a.model	models/pendant/weapon/Textures/hh002a_002d.dds		yf		
hh002a_003	models/pendant/weapon/hh002a.model	models/pendant/weapon/Textures/hh002a_003d.dds		yf		
hh003a_000	models/pendant/weapon/hh003a.model			yf		
hh003a_001	models/pendant/weapon/hh003a.model	models/pendant/weapon/Textures/hh003a_001d.dds		yf		
hh003a_002	models/pendant/weapon/hh003a.model	models/pendant/weapon/Textures/hh003a_002d.dds		yf		
hh003a_003	models/pendant/weapon/hh003a.model	models/pendant/weapon/Textures/hh003a_003d.dds		yf		
hh015a_000	models/pendant/weapon/hh015a.model			yf		
hh017a_000				yf		
hh020a_000	models/pendant/weapon/hh020a.model			yf		
hh020a_001	models/pendant/weapon/hh020a.model	models/pendant/weapon/Textures/hh020a_001d.dds		yf		
hh020a_002	models/pendant/weapon/hh020a.model	models/pendant/weapon/Textures/hh020a_002d.dds		yf		
hh020a_003	models/pendant/weapon/hh020a.model	models/pendant/weapon/Textures/hh020a_003d.dds		yf		
hh021a_000				yf		
hh021a_001				yf		
hh021a_002				yf		
hh021a_003				yf		
hh023a_000	models/pendant/weapon/hh023a.model			yf		
hh023a_001	models/pendant/weapon/hh023a.model	models/pendant/weapon/Textures/hh023a_001d.dds		yf		
hh023a_002	models/pendant/weapon/hh023a.model	models/pendant/weapon/Textures/hh023a_002d.dds		yf		
hh023a_003	models/pendant/weapon/hh023a.model	models/pendant/weapon/Textures/hh023a_003d.dds		yf		
hh024a_000	models/pendant/weapon/hh024a.model			yf		
hh024a_001	models/pendant/weapon/hh024a.model	models/pendant/weapon/Textures/hh024a_001d.dds		yf		
hh024a_002	models/pendant/weapon/hh024a.model	models/pendant/weapon/Textures/hh024a_002d.dds		yf		
hh024a_003	models/pendant/weapon/hh024a.model	models/pendant/weapon/Textures/hh024a_003d.dds		yf		
hh025a_000				yf		
hh025a_001	models/pendant/weapon/hh025a.model	models/pendant/weapon/Textures/hh025a_001d.dds		yf		
hh025a_002	models/pendant/weapon/hh025a.model	models/pendant/weapon/Textures/hh025a_002d.dds		yf		
hh025a_003	models/pendant/weapon/hh025a.model	models/pendant/weapon/Textures/hh025a_003d.dds		yf		
hh025a_004	models/pendant/weapon/hh025a.model	models/pendant/weapon/Textures/hh025a_004d.dds		yf		
hh025a_005	models/pendant/weapon/hh025a.model	models/pendant/weapon/Textures/hh025a_005d.dds		yf		
hh030a_000				yf		
hh030a_001				yf		
hh031a_000				yf		
hh032a_000	models/pendant/weapon/hh032a.model			yf		
hh032a_001	models/pendant/weapon/hh032a.model	models/pendant/weapon/Textures/hh032a_001d.dds		yf		
hh032a_002	models/pendant/weapon/hh032a.model	models/pendant/weapon/Textures/hh032a_002d.dds		yf		
hh032a_003	models/pendant/weapon/hh032a.model	models/pendant/weapon/Textures/hh032a_003d.dds		yf		
hh032a_004	models/pendant/weapon/hh032a.model	models/pendant/weapon/Textures/hh032a_004d.dds		yf		
hh036a_000				yf		
hh036a_001				yf		
hh037a_000	models/pendant/weapon/hh037a.model	models/pendant/weapon/Textures/hh037a_000d.dds		yf		
hh037a_001	models/pendant/weapon/hh037a.model	models/pendant/weapon/Textures/hh037a_001d.dds		yf		
hh037a_002				yf		
hh037a_003	models/pendant/weapon/hh037a.model	models/pendant/weapon/Textures/hh037a_003d.dds		yf		
hh037a_004				yf		
hh037a_005	models/pendant/weapon/hh037a.model	models/pendant/weapon/Textures/hh037a_005d.dds		yf		
hh038a_000				yf		
hh038a_001	models/pendant/weapon/hh038a.model	models/pendant/weapon/Textures/hh038a_001d.dds		yf		
hh038a_002	models/pendant/weapon/hh038a.model	models/pendant/weapon/Textures/hh038a_002d.dds		yf		
hh038a_003				yf		
