literal	text	channels	visible	ignore_setting	voice_male	voice_female	desc
ERR_SOCIAL_CUSTOM_ABILITY_EXISTED	该挚交能力已经处于激活状态						
ERR_SOCIAL_CUSTOM_ABILITY_COUNT	尚未开放激活更多挚交能力的权限						
ERR_SOCIAL_CUSTOM_ABILITY_HAD_APPLY	挚交能力正在申请中						
ERR_SOCIAL_CUSTOM_ABILITY_APPLY_INVALID	该挚交能力的申请已经无效						
ERR_SOCIAL_CUSTOM_ABILITY_NOTHING	尚未激活与该玩家的任何挚交能力						
ERR_SOCIAL_CUSTOM_ABILITY_SUMMON_NONE	尚未激活与该玩家的召请相关的挚交能力						
ERR_SOCIAL_CUSTOM_NICK_LENERR	挚交头衔昵称长度超过限制						
ERR_SOCIAL_CUSTOM_NICK_NIL	挚交头衔昵称不能为空						
ERR_SOCIAL_CUSTOM_NICK_ALLCHINESE	挚交头衔昵称有非中文字符						
ERR_SOCIAL_CUSTOM_NICK_ILLEGAL	挚交头衔昵称含有不建议使用的词汇						
ERR_SOCIAL_CUSTOM_EXIST_TITLE	已经跟该玩家激活了挚交头衔						
ERR_SOCIAL_CUSTOM_TITLE_LV	尚未达到激活挚交头衔的等级						
ERR_SOCIAL_CUSTOM_TITLE_HAD_APPLY	挚交头衔正在申请中						
ERR_SOCIAL_CUSTOM_TITLE_APPLY_INVALID	挚交头衔申请已经失效						
ERR_SOCIAL_CUSTOM_TITLE_NONE	尚未激活与该玩家的挚交头衔						
ERR_SOCIAL_CUSTOM_TOKEN_LV	尚未达到佩戴挚交信物的等级						
ERR_SOCIAL_CUSTOM_TOKEN_HIDE	需要先与一名玩家建立挚交关系						
ERR_SOCIAL_CUSTOM_TOKEN_HAD_APPLY	挚交信物正在申请中						
ERR_SOCIAL_CUSTOM_TOKEN_ID_EXIST	已佩戴相同的挚交信物						
ERR_SOCIAL_CUSTOM_TOKEN_NONE	尚未与该玩家佩戴挚交信物						
ERR_SOCIAL_CUSTOM_OATH_LENERR	挚交誓词长度超过限制						
ERR_SOCIAL_CUSTOM_OATH_NIL	挚交誓词不能为空						
ERR_SOCIAL_CUSTOM_OATH_ILLEGAL	挚交誓词含有不建议使用的词汇						
ERR_SOCIAL_TARGET_MASTER_EXCEED	该玩家师父数目已达上限						
ERR_SOCIAL_TARGET_STUDENT_EXCEED	该玩家徒弟数目已达上限						
ERR_SOCIAL_APPLY_MASTER_LV	未达到拜师等级						
ERR_SOCIAL_MASTER_EXCEED	师父数目已达上限						
ERR_SOCIAL_APPLY_MASTER_TGT_LV	该玩家未达到收徒等级						
ERR_SOCIAL_APPLY_STUDENT_LV	未达到收徒等级						
ERR_SOCIAL_STUDENT_EXCEED	徒弟数目已达上限						
ERR_SOCIAL_APPLY_STUDENT_TGT_LV	该玩家未达到拜师等级						
ERR_SOCIAL_EDUCATE_EXIST	您与该玩家已是师徒关系						
ERR_SOCIAL_EDUCATE_NO_EXIST	尚未跟该玩家建立师徒关系						
ERR_SOCIAL_EDUCATE_PLANT_RECONFIRM	无法重复激活						
ERR_SOCIAL_EDUCATE_TREE_EMPTY	尚未激活“辟蒙开明盆”进行桃树培育						
ERR_SOCIAL_EDUCATE_BRANCH_EMPTY	尚未激活“堂前春风”进行桃枝培育						
ERR_SOCIAL_EDUCATE_LOCKED	跨服师徒系统尚未开放						
ERR_SOCIAL_BLACK_EXCEED	黑名单数目已达上限						
ERR_SOCIAL_BLACK_EXIST	已将该玩家拉黑						
ERR_SOCIAL_BLACK_NO_EXIST	尚未将该玩家拉黑						
ERR_SOCIAL_BLACK_TGT_EXIST	该玩家已将您加入屏蔽名单						
ERR_SOCIAL_ADD_FRIEND_PERMISSION_DENIED	本角色未开放添加好友功能						
ERR_SOCIAL_DEL_FRIEND_PERMISSION_DENIED	本角色未开放删除好友功能						
ERR_SOCIAL_APPRENTICE_PERMISSION_DENIED	本角色未开放师徒功能						
ERR_SOCIAL_EDIT_MOOD_PERMISSION_DENIED	本角色未开放编辑心情功能						
ERR_SOCIAL_SUMMON_LEFT_COUNT	当天召请次数已用尽						
ERR_EMOTIONACT_NOT_ON_GROUND	需要在陆地上方可做动作						
ERR_EMOTIONACT_IN_CG	不可处于剧情状态						
ERR_EMOTIONACT_EMOTION_INVALID	指定的表情动作不合法						
ERR_EMOTIONACT_IS_MOVING	不能在移动中使用此表情						
ERR_EMOTIONACT_IS_FIGHTING	不能在战斗中使用此表情						
ERR_EMOTIONACT_IS_USING_SKILL	不能在使用技能的同时使用此表情						
ERR_EMOTIONACT_IS_TRANSFORMING	不能在变身状态下使用此表情						
ERR_EMOTIONACT_IS_BINDING	不能在载具状态下使用此表情						
ERR_EMOTIONACT_IS_MUTEX	与正在进行的表情动作不能同时使用						
ERR_EMOTIONACT_CUSTOM	不满足进行此表情动作的特殊要求						
ERR_EMOTIONACT_ADD_BUFF_FAIL	不能使用该表情动作						
@@@@@@@ERR_CHAT@@@@@@@							
ERR_CHAT_TOO_FAST	说得太快了				event:/voice/system/hint/tg/male/069	event:/voice/system/hint/tg/female/069	
ERR_CHAT_LV_LIMIT	未达到发言等级						
ERR_CHAT_TALK_TOSELF	无法密语自己						
ERR_CHAT_RECEIVER_NOT_EXIST	密语对象不存在						
ERR_CHAT_PERSONAL_LIMIT_COUNT	已达今日密语对象上限						
ERR_CHAT_RECEIVER_OFFLINE	密语对象不在线				event:/voice/system/hint/tg/male/073	event:/voice/system/hint/tg/female/073	
ERR_CHAT_FRIEND_PRIVATE_NOT_EXIST	私聊对象不存在				event:/voice/system/hint/tg/male/067	event:/voice/system/hint/tg/female/067	
ERR_CHAT_FRIEND_PRIVATE_OFFLINE	私聊对象不在线				event:/voice/system/hint/tg/male/073	event:/voice/system/hint/tg/female/073	
ERR_CHAT_PRIVATE_OFFLINE_LIMIT_COUNT	您与该对象私聊留言数已达今日上限						
ERR_CHAT_NOT_IN_TEAM	不在队伍中						
ERR_CHAT_NOT_IN_SYSTEM_TEAM	不在匹配队伍中						
ERR_CHAT_NOT_IN_GUILD	尚未加入盟会						
ERR_CHAT_NOT_IN_GUILD_PVP	尚未加入战盟						
ERR_CHAT_NOT_IN_GUILD_LEGION	尚未加入战联						
ERR_CHAT_NOT_IN_CAMP	尚未加入阵营						
ERR_CHAT_GUILD_NOT_RANK	没有发言权限				event:/voice/system/hint/tg/male/084	event:/voice/system/hint/tg/female/084	
ERR_CHAT_FRIEND_PRIVATE_INVALID	不可与该玩家进行私聊						
ERR_CHAT_NOVICE_INVALID	不能使用新手频道，请去唐澈处获得引道册						
ERR_CHAT_INVALID_CHANNEL	无效的聊天频道				event:/voice/system/hint/tg/male/093	event:/voice/system/hint/tg/female/093	
ERR_CHAT_MAX_CHAR	聊天字数超过限制						
ERR_CHAT_MAX_LINK	链接字数超过限制						
ERR_CHAT_MORE_LINK	链接个数超过限制						
ERR_CHAT_EMOJI_PRIVILEGE	没有表情发送权限						
ERR_CHAT_HUG_TOO_FAR	距离太远，请靠近目标				event:/voice/system/hint/tg/male/003	event:/voice/system/hint/tg/female/003	
ERR_CHAT_DANMU_CANNOT	该场景不能发送弹幕						
ERR_CHAT_CHANNEL_UNUSABLE	该频道目前不可用						
ERR_CHAT_DISABLED	已被禁言						
ERR_CHAT_INVALID_CONTENT	该消息无法发送						
ERR_POLICE_LOGIN_ERROR_WAIGUA	由于监测到使用外挂，系统已对您进行封禁处理，{1}后解除<w button="申诉"  />						
ERR_POLICE_LOGIN_ERROR_LAIYUAN	经查证此账号金币及道具获取异常，系统已对您进行封禁处理，{1}后解除<w button="申诉"  />						
ERR_POLICE_LOGIN_ERROR_ZHIXU	经查证此账号恶意扰乱游戏秩序，系统已对您进行封禁处理，{1}后解除<w button="申诉"  />						
ERR_POLICE_LOGIN_ERROR_SHUJUYICHANG	由于角色数据异常，系统已对您进行封禁处理，{1}后解除						
ERR_POLICE_LOGIN_ERROR_BUG	经查证此账号利用游戏漏洞不当得利，系统已对您进行封禁处理，{1}后解除						
ERR_POLICE_LOGIN_ERROR_ANQUAN	由于账号存在安全隐患，系统已对您进行封禁处理，{1}后解除<w button="申诉" />						
ERR_POLICE_ROLE_LOGIN_CAUSES	该角色因{1}已被禁止登录，{2}后解除。						
ERR_POLICE_ROLE_LOGIN	系统已对您进行封禁处理，{1}后解除。						
ERR_MUSIC_LENTH_NOT_FIT	音乐长度不符合要求						
ERR_MUSIC_TOO_FAST	音乐上传过快				event:/voice/system/hint/tg/male/040	event:/voice/system/hint/tg/female/040	
@@@@@@@ERR_PARTY@@@@@@@							
ERR_PARTY_INVALID_PLAYER	角色不存在或者角色已经删除						
ERR_PARTY_MAX_JOINS	加入的小圈子数目已达上限						
ERR_PARTY_MAX_MEMBERS	小圈子成员数目已达上限						
ERR_PARTY_NOT_EXIST	小圈子不存在						
ERR_PARTY_NO_IN_PARTY	您不是该小圈子成员						
ERR_PARTY_NO_PRIVILEGE	没有操作权限						
ERR_PARTY_IS_CREATING	小圈子正在创建中						
ERR_PARTY_NAME_LENERR	小圈子名长度不合法						
ERR_PARTY_NAME_ILLEGAL	小圈子名含有不建议使用的词汇						
ERR_PARTY_CREATE_FAIL	小圈子创建失败						
ERR_PARTY_INVITE_LIMIT	邀请已达上限						
ERR_PARTY_INVITE_INVALID	邀请无效						
ERR_PARTY_TARGET_INVITED	已经邀请过目标						
ERR_PARTY_NO_TARGET	目标不存在						
ERR_PARTY_TARGET_IN_PARTY	目标已是小圈子成员						
ERR_PARTY_TARGET_NO_IN_PARTY	目标不是小圈子成员						
ERR_PARTY_TARGET_MAX_JOINS	目标加入的小圈子数目已达上限						
ERR_PARTY_TARGET_NO_ONLINE	目标玩家不在线						
ERR_PARTY_SELF_IN_PARTY	您已经是该小圈子成员						
ERR_PARTY_EXIT_LEADER	圈主不能退出小圈子						
@@@@@@@ERR_GALAXY@@@@@@@							
ERR_GALAXY_WRONG_ID	错误的星蕴ID						
ERR_GALAXY_SKILL_MAX	该星蕴点已达修习上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_GALAXY_INSUFFICIENT_SP	星魄不足						
ERR_GALAXY_PARENT_DEMAND	前置星蕴未达到要求						
ERR_GALAXY_MUTEX	已修习互斥星蕴系						
ERR_GALAXY_LEVEL_RESTRICTION	等级不足				event:/voice/system/hint/tg/male/039	event:/voice/system/hint/tg/female/039	
ERR_GALAXY_PVE_LEVEL_RESTRICTION	侠名等级不足						
ERR_GALAXY_PVP_LEVEL_RESTRICTION	战绩等级不足						
ERR_GALAXY_GALAXY_LEVEL_RESTRICTION	星蕴等级不足				event:/voice/system/hint/tg/male/039	event:/voice/system/hint/tg/female/039	
ERR_GALAXY_POINT_UESED_RESTRICTION	已用星魄不足						
ERR_GALAXY_DISABLED	该星蕴点未解锁						
ERR_GALAXY_NEED_NPC	需要星蕴师						
ERR_GALAXY_NOT_OPEN	尚未习得凝星化蕴				event:/voice/system/hint/tg/male/009	event:/voice/system/hint/tg/female/009	
ERR_GALAXY_AREA_INACTIVE	所属星区未激活						
ERR_GALAXY_FIGHTING	战斗中不能切换星蕴				event:/voice/system/hint/tg/male/085	event:/voice/system/hint/tg/female/085	
ERR_GALAXY_DEAD	你已经重伤				event:/voice/system/hint/tg/male/071	event:/voice/system/hint/tg/female/071	
ERR_GALAXY_NOT_DISTRIBUTED	该星蕴点未化蕴						
ERR_GALAXY_COOLING_DOWN	未冷却						
ERR_GALAXY_NEED_ACHIEVEMENT	没有所需的成就						
ERR_GALAXY_MORE_THAN_ONE_ROUTE	到这个星蕴点的路径不唯一						
ERR_GALAXY_SCENE_LIMIT	当前场景无法切换专精						
ERR_GALAXY_CANT_SWITCH_MASTERY	尚未习得专精切换						
@@@@@@@ERR_ITEM_GENERAL@@@@@@@							
ERR_ITEM_PLAYER_DEAD	重伤状态不能使用				event:/voice/system/hint/tg/male/071	event:/voice/system/hint/tg/female/071	
ERR_ITEM_PLAYER_FIGHTING	战斗中不能操作				event:/voice/system/hint/tg/male/085	event:/voice/system/hint/tg/female/085	
ERR_ITEM_INVENTORY_IS_FULL	行囊已满				event:/voice/system/hint/tg/male/001	event:/voice/system/hint/tg/female/001	
ERR_ITEM_INSUFFICIENT_MONEY	银钱不足				event:/voice/system/hint/tg/male/022	event:/voice/system/hint/tg/female/022	
ERR_ITEM_MONEY_IS_FULL	携带金钱已达上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_ITEM_EXCEED_MAX_OWN	超出拥有上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_ITEM_EXCEED_MAX_STACK	超出堆叠上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_ITEM_DUE_TO_CAPACITY	背包容量不足，无法卸载				event:/voice/system/hint/tg/male/032	event:/voice/system/hint/tg/female/032	
ERR_ITEM_NOT_ENOUGH	物品数量不足				event:/voice/system/hint/tg/male/087	event:/voice/system/hint/tg/female/087	
ERR_ITEM_CONSUME_FAILED	扣除失败						
ERR_ITEM_INSUFFICIENT_SLOT	行囊空位不够				event:/voice/system/hint/tg/male/018	event:/voice/system/hint/tg/female/018	
ERR_ITEM_INVALID_PARAMETER	错误的道具参数				event:/voice/system/hint/tg/male/093	event:/voice/system/hint/tg/female/093	
ERR_ITEM_USE_FAILED_PRECHECK	Precheck失败						
ERR_ITEM_ACQUIRE_MAX	超出最大获取数						
ERR_ITEM_OUT_OF_RANGE	距离太远，请靠近目标				event:/voice/system/hint/tg/male/003	event:/voice/system/hint/tg/female/003	
ERR_ITEM_OUT_OF_REACH	无法触及，请靠近目标				event:/voice/system/hint/tg/male/003	event:/voice/system/hint/tg/female/003	
ERR_ITEM_PROGRAM	服务器程序出错						
ERR_ITEM_SCRIPT_CHECK_FAIL							
ERR_ITEM_USELESS	该物品无使用效果				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_USE_FAIL	不能使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_CANNOT_USE_UNTIL_EQUIPPED	未装备不可使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_SOLUTION_DENY	当前状态无法更换装备				event:/voice/system/hint/tg/male/016	event:/voice/system/hint/tg/female/016	
ERR_ITEM_LOCKED_CONTAINER	指定容器未开放						
ERR_ITEM_USE_LOCATION_DENIED	当前容器内道具不可用						
@@@@@@@ERR_ITEM_CHECK@@@@@@@							
ERR_ITEM_IS_MPLOCKED	物品已锁定						
ERR_ITEM_IS_BOUND	物品不能交易				event:/voice/system/hint/tg/male/020	event:/voice/system/hint/tg/female/020	
ERR_ITEM_IS_NOT_ACCOUNT	物品非账号共享						
ERR_ITEM_EXPIRED	物品已过期				event:/voice/system/hint/tg/male/076	event:/voice/system/hint/tg/female/076	
ERR_ITEM_COOLING_DOWN	物品冷却中				event:/voice/system/hint/tg/male/034	event:/voice/system/hint/tg/female/034	
ERR_ITEM_SLOT_EMPTY	该位置没有道具						
ERR_ITEM_INVALID_POS	无效位置				event:/voice/system/hint/tg/male/093	event:/voice/system/hint/tg/female/093	
ERR_ITEM_CANNOT_MERGE	无法合并						
ERR_ITEM_CANNOT_REACH_BANK	距离仓库太远				event:/voice/system/hint/tg/male/003	event:/voice/system/hint/tg/female/003	
ERR_ITEM_NEED_BANK_NPC	需要仓库管理员						
ERR_ITEM_FIGHTNPC_EQUIP_ACTIVE	该装备已经激活						
ERR_ITEM_FIGHTNPC_NOTACTIVE	该助战使尚未激活						
ERR_ITEM_FIGHTNPC_ACTIVED	该助战使已经激活						
@@@@@@@ERR_ITEM_OP@@@@@@@							
ERR_ITEM_POSSESSIONS_LOCK	道具锁未解开						
ERR_ITEM_MOVE_FAIL	移动失败				event:/voice/system/hint/tg/male/077	event:/voice/system/hint/tg/female/077	
ERR_ITEM_CANNOT_STORAGE	不可移至该容器						
ERR_ITEM_CANNOT_STORAGE_SLOT	不可移至该位置						
ERR_ITEM_PACKBONUS_LIMIT	请先移动至背包再进行操作						
ERR_ITEM_CANNOT_USE_HERE	不能在这里使用				event:/voice/system/hint/tg/male/015	event:/voice/system/hint/tg/female/015	
ERR_ITEM_DISCARD_PERMISSION_DENIED	本角色尚未开启丢弃物品功能						
ERR_ITEM_DISCARD_DENY	该物品不可丢弃				event:/voice/system/hint/tg/male/088	event:/voice/system/hint/tg/female/088	
ERR_ITEM_CANNOT_EQUIP_THERE	无法装备到此处				event:/voice/system/hint/tg/male/016	event:/voice/system/hint/tg/female/016	
ERR_ITEM_CANNOT_EQUIP_MORE	不能装备太多				event:/voice/system/hint/tg/male/016	event:/voice/system/hint/tg/female/016	
ERR_ITEM_CANNOT_UNEQUIP	企划脚本阻止卸除						
ERR_ITEM_LV_RESTRICTION	等级不足				event:/voice/system/hint/tg/male/039	event:/voice/system/hint/tg/female/039	
ERR_ITEM_CORE_LV_RESTRICTION	突破等级不足				event:/voice/system/hint/tg/male/039	event:/voice/system/hint/tg/female/039	
ERR_ITEM_PVE_LV_RESTRICTION	侠名等级不足				event:/voice/system/hint/tg/male/039	event:/voice/system/hint/tg/female/039	
ERR_ITEM_PVP_LV_RESTRICTION	战绩等级不足				event:/voice/system/hint/tg/male/039	event:/voice/system/hint/tg/female/039	
ERR_ITEM_GENDER_RESTRICTION	性别/体型不符						
ERR_ITEM_CAMP_RESTRICTION	阵营不符						
ERR_ITEM_VOCATION_RESTRICTION	职业不符						
ERR_ITEM_BREAKUP_PERMISSION_DENIED	本角色未开放分解功能				event:/voice/system/hint/tg/male/075	event:/voice/system/hint/tg/female/075	
ERR_ITEM_CANNOT_BREAKUP	该道具不可分解				event:/voice/system/hint/tg/male/057	event:/voice/system/hint/tg/female/057	
ERR_ITEM_BREAKUP_MATERIAL_AMOUNT_MAX	材料已满，无法分解						
ERR_ITEM_REMOVE_FAIL	道具不足或已被锁定						
@@@@@@@ERR_ITEM_EXT@@@@@@@							
ERR_ITEM_EXTERIOR_NOT_ACTIVATED	外观尚未收集				event:/voice/system/hint/tg/male/090	event:/voice/system/hint/tg/female/090	
ERR_ITEM_EXTERIOR_NOT_RUBBED	外观尚未摄形或摄形过期						
ERR_ITEM_EXTERIOR_DIY_ACTIVATE	天衣部件已激活						
@@@@@@@ERR_ITEM_RES@@@@@@@							
ERR_ITEM_NONRIDING_RESTRICTION	骑乘状态无法使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_NONTRAFFIC_RESTRICTION	导航状态无法使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_NONTRANSFORM_RESTRICTION	变身状态无法使用						
ERR_ITEM_CHANTING_BUSY	吟唱状态无法使用						
ERR_ITEM_EXIST_DENY	道具无法存于此场景						
ERR_ITEM_WATER_RESTRICTION	水中无法使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_NOT_IN_WATER_RESTRICTION	非深水中无法使用						
ERR_ITEM_NONFIGHTING_RESTRICTION	战斗中无法使用				event:/voice/system/hint/tg/male/085	event:/voice/system/hint/tg/female/085	
ERR_ITEM_NONFIGHTING_RST_DISARM	战斗中无法卸除				event:/voice/system/hint/tg/male/046	event:/voice/system/hint/tg/female/046	
ERR_ITEM_TARGET_RESTRICTION	不可对该目标使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_SCENETYPE_RESTRICETION	此处无法使用				event:/voice/system/hint/tg/male/045	event:/voice/system/hint/tg/female/045	
ERR_ITEM_AREA_RESTRICTION	此处无法使用				event:/voice/system/hint/tg/male/045	event:/voice/system/hint/tg/female/045	
ERR_ITEM_UNAPPRAISED_DENY	未鉴定道具无法装备				event:/voice/system/hint/tg/male/016	event:/voice/system/hint/tg/female/016	
ERR_ITEM_CANNOT_IMPROVE	该道具无法提升				event:/voice/system/hint/tg/male/052	event:/voice/system/hint/tg/female/052	
ERR_ITEM_QUEST_RESTRICTION	没有任务无法使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_HOME_CANNOT_USE	当前无法使用，仙府开放后方可使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_NO_NPC_AROUND_RESTRICTION	过于靠近非玩家角色无法使用						
ERR_ITEM_NEED_SELECT_PLAYER	请选中一位玩家						
ERR_ITEM_TIMING_RESTRICTION	不在合适的使用时机						
@@@@@@@ERR_ITEM_EFFECT@@@@@@@							
ERR_ITEM_EFFECT_TRANSPORT	你已在当前场景						
ERR_ITEM_EFFECT_ADD_PARAGON_EXP	未开启星魄						
ERR_ITEM_EFFECT_TITLE	已获得该称号				event:/voice/system/hint/tg/male/092	event:/voice/system/hint/tg/female/092	
ERR_ITEM_EFFECT_REPUTATION	已达到声望使用上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_ITEM_EFFECT_ADD_COLLECTION_NUM	该物品无法获得更多				event:/voice/system/hint/tg/male/033	event:/voice/system/hint/tg/female/033	
ERR_ITEM_EFFECT_COLLECTION_LV_MAX	藏品等级达到上限				event:/voice/system/hint/tg/male/064	event:/voice/system/hint/tg/female/064	
ERR_ITEM_EFFECT_NO_COLLECTION	未获得对应藏品				event:/voice/system/hint/tg/male/090	event:/voice/system/hint/tg/female/090	
ERR_ITEM_EFFECT_COLLECTION_HIGHER_LV	已拥有更高等级的该藏品				event:/voice/system/hint/tg/male/092	event:/voice/system/hint/tg/female/092	
ERR_ITEM_EFFECT_REMNANT	已修习该残卷				event:/voice/system/hint/tg/male/091	event:/voice/system/hint/tg/female/091	
ERR_ITEM_EFFECT_RECIPE_MASTERED	已掌握该配方				event:/voice/system/hint/tg/male/091	event:/voice/system/hint/tg/female/091	
ERR_ITEM_EFFECT_FRIEND_UNMATCH	只能与好友增加好感度						
ERR_ITEM_EFFECT_CUSTOM_UNMATCH	只能与挚交增加挚交值						
ERR_ITEM_EFFECT_MASTER_UNMATCH	只能对师父使用				event:/voice/system/hint/tg/male/012	event:/voice/system/hint/tg/female/012	
ERR_ITEM_EFFECT_PET_SHOW_ID_EXIST	无法重复获得此幻化形象				event:/voice/system/hint/tg/male/092	event:/voice/system/hint/tg/female/092	
ERR_ITEM_EFFECT_RUB_EXTERIOR	该外观已获得				event:/voice/system/hint/tg/male/092	event:/voice/system/hint/tg/female/092	
ERR_ITEM_EFFECT_MEDICINE_INACTIVE	尚未激活该丹枢						
ERR_ITEM_EFFECT_MEDICINE_CHARGE_MAX	药力已满，无法继续服饵						
ERR_ITEM_EFFECT_SKILL_LEARNED	该技能已习得						
ERR_ITEM_EFFECT_SKILL_UNMATCH	不符合技能学习条件						
ERR_ITEM_EFFECT_PORTRAIT	头像已激活						
ERR_ITEM_EFFECT_EMOJI	表情包已激活						
ERR_ITEM_EFFECT_SOLUTION_UNLOCKED	配置方案已解锁						
ERR_ITEM_EFFECT_SOLUTION_UNMATCH	不满足解锁条件						
@@@@@@@ERR_ITEM_MAIL@@@@@@@							
ERR_ITEM_MAIL_SEND_PERMISSION_DENIED	本角色未开放邮件发送功能				event:/voice/system/hint/tg/male/075	event:/voice/system/hint/tg/female/075	
ERR_ITEM_MAIL_PAID_PERMISSION_DENIED	本角色未开放付费邮件收取功能						
ERR_ITEM_MAIL_DEAD	重伤状态不能收发邮件				event:/voice/system/hint/tg/male/071	event:/voice/system/hint/tg/female/071	
ERR_ITEM_MAIL_FIGHTING	战斗中不能收发邮件				event:/voice/system/hint/tg/male/085	event:/voice/system/hint/tg/female/085	
ERR_ITEM_MAIL_POSTMAN_AWAY	需要信使						
ERR_ITEM_MAIL_LONG_NAME	收件人名字太长						
ERR_ITEM_MAIL_EXCEED_CAPACITY	对方邮箱已满						
ERR_ITEM_MAIL_EXCEED_MAX_SEND	今日发送邮件封数已达上限				event:/voice/system/hint/tg/male/086	event:/voice/system/hint/tg/female/086	
ERR_ITEM_MAIL_LONG_TITLE	标题太长						
ERR_ITEM_MAIL_LONG_CONTENT	内容太长						
ERR_ITEM_MAIL_INVALID_RECV	收件人不存在				event:/voice/system/hint/tg/male/067	event:/voice/system/hint/tg/female/067	
ERR_ITEM_MAIL_MUCH_REMIT	邮寄金额太多						
ERR_ITEM_MAIL_INVALID_MAIL	邮件无效				event:/voice/system/hint/tg/male/093	event:/voice/system/hint/tg/female/093	
ERR_ITEM_MAIL_BUSY	邮件系统忙，请稍候				event:/voice/system/hint/tg/male/038	event:/voice/system/hint/tg/female/038	
ERR_ITEM_MAIL_EMPTY_SLOT	此邮件没有附件						
ERR_ITEM_MAIL_INSUFFICIENT_SLOT	附件槽已满，请另起一封						
ERR_ITEM_MAIL_SEND_SELF	不能给自己发送邮件						
ERR_ITEM_MAIL_MUCH_CHARGE	邮件索取金额过高						
ERR_ITEM_MAIL_REMIT_AND_CHARGE	邮件不可既收费又汇款						
ERR_ITEM_MAIL_SEND_BLACK	收件人被黑名单屏蔽						
ERR_ITEM_MAIL_NO_EXIST	邮件不存在或过期				event:/voice/system/hint/tg/male/076	event:/voice/system/hint/tg/female/076	
ERR_ITEM_MAIL_ON_SITE	邮件已上门						
ERR_ITEM_MAIL_SEND_FAILED	邮件发送失败				event:/voice/system/hint/tg/male/077	event:/voice/system/hint/tg/female/077	
ERR_ITEM_MAIL_INSUFFICIENT_MONEY	邮资不足				event:/voice/system/hint/tg/male/022	event:/voice/system/hint/tg/female/022	
ERR_ITEM_MAIL_NDELETE	请取出所有附件再删除						
ERR_ITEM_MAIL_NREJECT	此邮件不可退回						
ERR_ITEM_MAIL_SOCIAL_BLACK	已被收件人屏蔽						
ERR_ITEM_MAIL_LETTERBG_EXIST	信封背景已拥有						
@@@@@@@ERR_ITEM_TRADE@@@@@@@							
ERR_ITEM_TRADE_SELF_PERMISSION_DENIED	本角色未开放交易功能				event:/voice/system/hint/tg/male/075	event:/voice/system/hint/tg/female/075	
ERR_ITEM_TRADE_PEER_PERMISSION_DENIED	对方未开放交易功能，无法交易				event:/voice/system/hint/tg/male/019	event:/voice/system/hint/tg/female/019	
ERR_ITEM_TRADE_PEER_FIGHTING	对方战斗中，无法交易				event:/voice/system/hint/tg/male/019	event:/voice/system/hint/tg/female/019	
ERR_ITEM_TRADE_SELF_FIGHTING	战斗中不能交易				event:/voice/system/hint/tg/male/019	event:/voice/system/hint/tg/female/019	
ERR_ITEM_TRADE_PEER_DEAD	对方已重伤，无法交易				event:/voice/system/hint/tg/male/072	event:/voice/system/hint/tg/female/072	
ERR_ITEM_TRADE_SELF_DEAD	重伤状态不能交易				event:/voice/system/hint/tg/male/071	event:/voice/system/hint/tg/female/071	
ERR_ITEM_TRADE_SELF	不能交易自己				event:/voice/system/hint/tg/male/019	event:/voice/system/hint/tg/female/019	
ERR_ITEM_TRADE_PEER_INVALID	交易对象不存在或下线				event:/voice/system/hint/tg/male/073	event:/voice/system/hint/tg/female/073	
ERR_ITEM_TRADE_PEER_TRADING	对方交易中，请稍候				event:/voice/system/hint/tg/male/038	event:/voice/system/hint/tg/female/038	
ERR_ITEM_TRADE_SELF_TRADING	己方交易中						
ERR_ITEM_TRADE_REQUEST	你已在对方交易请求列表中						
ERR_ITEM_TRADE_TRADING_FREE	你不在交易状态						
ERR_ITEM_TRADE_LOCKED	请先解锁交易						
ERR_ITEM_TRADE_SELF_UNLOCKED	请先锁定交易						
ERR_ITEM_TRADE_PEER_UNLOCKED	请等待对方锁定后再确定交易						
ERR_ITEM_TRADE_PEER_INSUFFICIENT_MONEY	对方囊中羞涩				event:/voice/system/hint/tg/male/019	event:/voice/system/hint/tg/female/019	
